,am_normal,am_toxic,ar_normal,ar_toxic,de_normal,de_toxic,en_normal,en_toxic,es_normal,es_toxic,hi_normal,hi_toxic,ru_normal,ru_toxic,uk_normal,uk_toxic,zh_normal,zh_toxic
am_normal,0.7053282260894775,0.6927756667137146,0.3819218873977661,0.4373060464859009,0.2978171706199646,0.32246100902557373,0.3421822488307953,0.3000020980834961,0.30802223086357117,0.31708481907844543,0.35127875208854675,0.38510823249816895,0.30066731572151184,0.27442485094070435,0.30829742550849915,0.3596004247665405,0.36146339774131775,0.3869692087173462
am_toxic,0.6927756667137146,0.6832722425460815,0.3704695403575897,0.42084208130836487,0.289760947227478,0.31235605478286743,0.33426132798194885,0.29519882798194885,0.29722514748573303,0.3062860071659088,0.3395395874977112,0.3698537349700928,0.28750139474868774,0.26435115933418274,0.29602906107902527,0.3438311517238617,0.34388643503189087,0.3675699532032013
ar_normal,0.3819219172000885,0.3704695403575897,0.44745805859565735,0.4754810035228729,0.3115682005882263,0.3322408199310303,0.3418605327606201,0.3216346800327301,0.31547778844833374,0.3318643569946289,0.3411914110183716,0.3584027886390686,0.3074389696121216,0.28913235664367676,0.29366782307624817,0.3353131413459778,0.33357852697372437,0.3516561985015869
ar_toxic,0.4373060464859009,0.42084208130836487,0.4754810035228729,0.5236839652061462,0.34081852436065674,0.36758482456207275,0.3760716915130615,0.3497484028339386,0.35337135195732117,0.3716468811035156,0.3809700608253479,0.4072776734828949,0.35261401534080505,0.32635563611984253,0.3354135751724243,0.38704121112823486,0.3802795112133026,0.4038928747177124
de_normal,0.2978171706199646,0.28976091742515564,0.3115682005882263,0.34081849455833435,0.487457275390625,0.48279666900634766,0.3328879773616791,0.3290782868862152,0.2942509651184082,0.3131985068321228,0.26865991950035095,0.28567880392074585,0.27696508169174194,0.2782428562641144,0.2602037489414215,0.29130956530570984,0.2737598419189453,0.2820829451084137
de_toxic,0.32246097922325134,0.31235605478286743,0.3322408199310303,0.36758482456207275,0.48279672861099243,0.486537903547287,0.34463563561439514,0.3369417190551758,0.3085836172103882,0.327807754278183,0.2870008647441864,0.30607113242149353,0.29582878947257996,0.29146865010261536,0.27831587195396423,0.31332865357398987,0.29854291677474976,0.3112891614437103
en_normal,0.3421822488307953,0.33426132798194885,0.3418605625629425,0.3760716915130615,0.3328879773616791,0.34463563561439514,0.4963222146034241,0.504511833190918,0.33223775029182434,0.35845643281936646,0.3125614821910858,0.327933669090271,0.3034975528717041,0.29958170652389526,0.2860791087150574,0.32395684719085693,0.3195095956325531,0.32745230197906494
en_toxic,0.3000020980834961,0.29519882798194885,0.3216346800327301,0.3497484028339386,0.3290782570838928,0.3369416892528534,0.504511833190918,0.5504195094108582,0.3189637362957001,0.35548827052116394,0.28976401686668396,0.30211973190307617,0.28557518124580383,0.2962806820869446,0.2680043876171112,0.30278968811035156,0.2932690382003784,0.29791536927223206
es_normal,0.30802223086357117,0.29722514748573303,0.31547778844833374,0.3533713221549988,0.2942509651184082,0.3085836172103882,0.33223778009414673,0.31896376609802246,0.41079145669937134,0.42855843901634216,0.30016443133354187,0.31713858246803284,0.27077537775039673,0.2565876841545105,0.2479892522096634,0.2864731550216675,0.28392505645751953,0.2972095310688019
es_toxic,0.31708478927612305,0.3062859773635864,0.3318643569946289,0.3716468811035156,0.3131985068321228,0.327807754278183,0.35845643281936646,0.35548824071884155,0.42855843901634216,0.45907410979270935,0.3130744993686676,0.3305264115333557,0.2823544144630432,0.2758421301841736,0.2580406367778778,0.29899418354034424,0.2966751754283905,0.3095441460609436
hi_normal,0.35127875208854675,0.3395395874977112,0.3411914110183716,0.3809700608253479,0.26865994930267334,0.2870008647441864,0.3125614821910858,0.28976401686668396,0.3001644015312195,0.3130744993686676,0.6362070441246033,0.6401461362838745,0.257975310087204,0.2500385642051697,0.25543779134750366,0.2884981334209442,0.2821044921875,0.30090245604515076
hi_toxic,0.38510820269584656,0.3698537349700928,0.3584027886390686,0.4072776734828949,0.28567880392074585,0.30607113242149353,0.327933669090271,0.30211973190307617,0.31713858246803284,0.3305263817310333,0.6401460766792297,0.656671404838562,0.28020355105400085,0.2680806517601013,0.2737123966217041,0.314159631729126,0.30820873379707336,0.32898616790771484
ru_normal,0.30066734552383423,0.28750142455101013,0.3074389696121216,0.35261404514312744,0.27696505188941956,0.29582881927490234,0.3034975230693817,0.2855752408504486,0.27077537775039673,0.2823544144630432,0.2579752802848816,0.28020352125167847,0.4983099699020386,0.49796274304389954,0.40793487429618835,0.4383406639099121,0.29642045497894287,0.31023311614990234
ru_toxic,0.27442485094070435,0.26435115933418274,0.28913235664367676,0.32635563611984253,0.27824288606643677,0.29146867990493774,0.29958173632621765,0.2962806522846222,0.2565876841545105,0.27584215998649597,0.2500385642051697,0.2680806517601013,0.49796274304389954,0.5286428928375244,0.40695786476135254,0.4296732544898987,0.2726351320743561,0.28046533465385437
uk_normal,0.30829742550849915,0.29602906107902527,0.29366788268089294,0.3354136049747467,0.2602037489414215,0.2783159017562866,0.2860791087150574,0.2680043876171112,0.2479892522096634,0.2580406665802002,0.2554377615451813,0.2737123966217041,0.40793487429618835,0.40695783495903015,0.5089871287345886,0.5280001163482666,0.2748951315879822,0.2912426292896271
uk_toxic,0.3596004247665405,0.3438311517238617,0.3353131115436554,0.38704121112823486,0.2913096249103546,0.31332868337631226,0.32395684719085693,0.30278971791267395,0.2864731252193451,0.298994243144989,0.2884981334209442,0.31415966153144836,0.4383406639099121,0.42967328429222107,0.5280001163482666,0.5652341246604919,0.3245485723018646,0.3436072766780853
zh_normal,0.36146339774131775,0.34388646483421326,0.33357852697372437,0.3802795112133026,0.2737598121166229,0.29854291677474976,0.3195095956325531,0.2932690382003784,0.28392505645751953,0.2966751754283905,0.2821044921875,0.30820876359939575,0.29642045497894287,0.27263516187667847,0.2748951315879822,0.3245485723018646,0.5847588181495667,0.5763695240020752
zh_toxic,0.3869692385196686,0.3675699532032013,0.3516561985015869,0.4038928747177124,0.2820829451084137,0.3112892210483551,0.32745227217674255,0.29791536927223206,0.2972095310688019,0.30954408645629883,0.30090245604515076,0.32898613810539246,0.31023308634757996,0.28046533465385437,0.2912426292896271,0.3436072766780853,0.5763695240020752,0.5822408199310303
